"","Score","Potential ScorePerfect: 16","MIA 17@BUF 42","DET 31@GB 0","JAX 3@HOU 20","NYJ 3@NE 38","CAR 33@NO 14","DAL 36@NYG 35","ATL 34@TB 32","CLE 24@BAL 26","PHI 24@WAS 0","OAK 3@KC 35","CHI 24@MN 10","CIN 13@PIT 16","LAC 23@DEN 9","SF 32@LAR 48","AZ 24@SEA 27","IND 33@TEN 17","Tie BreakerPredictionActual: 50"
"Saquads Scores!","13","13","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","37"
"POOL MEISTER","12","12","BUF","DET","HOU","NE","NO","NYG","TB","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","48"
"The Real Slim Brady","12","12","MIA","DET","HOU","NE","NO","DAL","ATL","CLE","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","52"
"Cold Steel","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","48"
"sdtrading","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","48"
"Petvet","12","12","BUF","DET","HOU","NE","NO","DAL","TB","CLE","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","48"
"j3live","12","12","MIA","GB","HOU","NE","CAR","NYG","ATL","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","47"
"$man","12","12","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","TEN","47"
"Alec B","12","12","MIA","GB","HOU","NE","CAR","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","53"
"madbolt","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","46"
"Sparky","12","12","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","46"
"Boldman","12","12","BUF","GB","HOU","NE","NO","NYG","-","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","45"
"Digital Jim","12","12","BUF","GB","HOU","NE","NO","DAL","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","45"
"StamfordPhil","12","12","BUF","GB","HOU","NE","NO","DAL","TB","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","44"
"Fein Men","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","44"
"HAPPY NESS","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","44"
"RichieRich$$","12","12","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","44"
"Mark_W","12","12","BUF","GB","JAX","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","43"
"Knead A Win","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","42"
"Coachjoel57","12","12","BUF","GB","HOU","NE","NO","DAL","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","42"
"Slugger53","12","12","MIA","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","58"
"HayMadEm","12","12","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","TEN","42"
"TShelly","12","12","BUF","GB","HOU","NE","CAR","NYG","ATL","CLE","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","59"
"GKAT28","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","40"
"Barry from Miami","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","39"
"stanley steamer","12","12","MIA","GB","HOU","NE","NO","DAL","ATL","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","64"
"Brubabe","12","12","BUF","GB","HOU","NE","NO","DAL","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","35"
"Jeff Rosenthal","12","12","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","33"
"Art","12","12","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","31"
"Davs3b","11","11","BUF","GB","HOU","NE","NO","NYG","ATL","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","50"
"Teddy","11","11","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","52"
"Cramer","11","11","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","45"
"HEADLY IV","11","11","BUF","GB","HOU","NE","NO","DAL","ATL","BAL","WAS","KC","MN","CIN","LAC","LAR","SEA","IND","45"
"Team Rovner","11","11","BUF","GB","HOU","NE","NO","NYG","TB","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","45"
"They Might Be Giants!","11","11","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","MN","PIT","DEN","LAR","SEA","IND","44"
"Keith Swet Tailor","11","11","BUF","GB","HOU","NE","CAR","NYG","TB","BAL","PHI","KC","MN","PIT","DEN","LAR","SEA","IND","44"
"Perjodi","11","11","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","43"
"Giant Blues","11","11","BUF","GB","HOU","NE","NO","NYG","ATL","CLE","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","42"
"Z-Man","11","11","BUF","GB","HOU","NE","NO","NYG","ATL","CLE","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","42"
"Nugget2018","11","11","BUF","GB","HOU","NE","NO","NYG","ATL","BAL","WAS","KC","MN","PIT","LAC","LAR","SEA","IND","41"
"egever","11","11","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","CHI","PIT","DEN","LAR","SEA","IND","40"
"GeveandSteveandStella","11","11","MIA","GB","HOU","NE","CAR","NYG","ATL","CLE","PHI","KC","MN","PIT","LAC","LAR","SEA","IND","39"
"Maven","11","11","MIA","GB","HOU","NE","NO","NYG","ATL","BAL","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","38"
"JustMonkeyinAround","11","11","MIA","GB","HOU","NE","NO","DAL","ATL","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","28"
"TuesdayMorningQB","10","10","BUF","GB","HOU","NYJ","NO","NYG","TB","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","IND","49"
"Jaddie's Daddy","10","10","BUF","GB","HOU","NE","NO","NYG","TB","BAL","WAS","KC","MN","PIT","LAC","LAR","SEA","IND","51"
"Torch","10","10","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","MN","PIT","LAC","LAR","SEA","TEN","48"
"Mega Movis Men","10","10","MIA","GB","HOU","NE","NO","NYG","ATL","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","47"
"Eggman","10","10","BUF","GB","HOU","NE","NO","NYG","TB","BAL","PHI","KC","MN","PIT","DEN","LAR","SEA","IND","55"
"Kosher Dilly Dilly","10","10","BUF","GB","HOU","NE","NO","NYG","TB","CLE","PHI","KC","CHI","PIT","LAC","LAR","SEA","TEN","43"
"tonyppt","9","9","MIA","GB","HOU","NE","CAR","NYG","TB","CLE","PHI","KC","CHI","PIT","DEN","SF","SEA","IND","48"
"Dr Blue","9","9","MIA","DET","HOU","NYJ","CAR","NYG","TB","CLE","PHI","OAK","CHI","PIT","DEN","LAR","SEA","IND","41"
"Go Pats!!!","9","9","MIA","GB","HOU","NE","NO","DAL","TB","CLE","PHI","KC","CHI","CIN","LAC","LAR","SEA","TEN","40"
"Dental Plan","9","9","BUF","GB","HOU","NE","CAR","NYG","TB","CLE","WAS","KC","MN","PIT","LAC","LAR","AZ","IND","34"
"Pioneers85","8","8","BUF","GB","HOU","NE","NO","NYG","TB","CLE","PHI","KC","MN","PIT","DEN","LAR","SEA","TEN","44"
"Fire Goodell","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"El Presidente","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"Bill's Mafia","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"Wentz is Jewish","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
"LARRY SHIVTGERALD","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0"
