"","Score","Potential ScorePerfect: 13","OAK 3@SF 34","CHI 41@BUF 9","TB 28@CAR 42","KC 37@CLE 21","NYJ 6@MIA 13","PIT 23@BAL 16","DET 9@MN 24","ATL 38@WAS 14","HOU 19@DEN 17","LAC 25@SEA 17","LAR 35@NO 45","GB 17@NE 31","TEN 28@DAL 14","Tie BreakerPredictionActual: 42"
"Joe Cell Man","10","10","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","NO","NE","DAL","44"
"BADBOYBILLY","10","10","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","LAC","NO","GB","DAL","44"
"Eggman","10","10","SF","CHI","TB","KC","NYJ","PIT","MN","ATL","HOU","SEA","NO","NE","TEN","45"
"Saquads Scores!","10","10","SF","CHI","CAR","KC","MIA","BAL","MN","ATL","HOU","SEA","NO","NE","DAL","39"
"madbolt","10","10","SF","CHI","CAR","KC","MIA","BAL","MN","ATL","HOU","SEA","NO","GB","TEN","39"
"Larry1223","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","LAC","NO","GB","DAL","46"
"TuesdayMorningQB","10","10","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","NO","NE","DAL","46"
"MSE-PA","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","NO","NE","DAL","48"
"The Real Slim Brady","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","LAR","NE","DAL","52"
"Alec B","10","10","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","LAC","NO","GB","DAL","52"
"Jack","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","LAC","NO","GB","DAL","28"
"Lucky Laits","10","10","OAK","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","NO","NE","TEN","60"
"USMC1125","10","10","SF","CHI","CAR","KC","MIA","PIT","MN","ATL","HOU","SEA","NO","GB","DAL","69"
"Torch","9","9","SF","CHI","CAR","KC","MIA","BAL","MN","ATL","DEN","SEA","NO","NE","DAL","42"
"egever","9","9","SF","CHI","CAR","KC","MIA","PIT","MN","ATL","DEN","SEA","LAR","NE","DAL","42"
"Barry from Miami","9","9","SF","CHI","CAR","KC","MIA","BAL","MN","WAS","HOU","SEA","NO","NE","DAL","41"
"Dr Blue","9","9","SF","CHI","CAR","KC","NYJ","PIT","MN","ATL","DEN","LAC","NO","GB","DAL","43"
"Nugget2018","9","9","OAK","CHI","CAR","KC","MIA","BAL","MN","ATL","DEN","LAC","NO","NE","DAL","44"
"Cold Steel","9","9","OAK","CHI","CAR","KC","MIA","BAL","MN","WAS","HOU","LAC","NO","NE","DAL","40"
"RichieRich$$","9","9","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","DEN","SEA","NO","NE","DAL","44"
"Mega Movis Men","9","9","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","LAR","NE","DAL","44"
"Team Rovner","9","9","SF","CHI","CAR","KC","NYJ","PIT","MN","ATL","DEN","LAC","LAR","NE","DAL","44"
"They Might Be Giants!","9","9","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","DEN","LAC","LAR","GB","TEN","39"
"Used to be BristolDr","9","9","SF","CHI","CAR","KC","MIA","BAL","MN","WAS","HOU","LAC","LAR","NE","DAL","45"
"Coachjoel57","9","9","OAK","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","NO","NE","DAL","45"
"LARRY SHIVTGERALD","9","9","OAK","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","LAC","LAR","NE","DAL","39"
"TShelly","9","9","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","DEN","LAC","LAR","NE","DAL","46"
"Cramer","9","9","SF","CHI","CAR","KC","MIA","BAL","MN","ATL","DEN","SEA","NO","NE","DAL","47"
"West Coast Eagles Fan","9","9","OAK","CHI","CAR","KC","MIA","PIT","MN","WAS","DEN","LAC","NO","NE","DAL","48"
"Bill's Mafia","9","9","OAK","CHI","CAR","KC","MIA","BAL","MN","ATL","HOU","SEA","NO","NE","DAL","48"
"Digital Jim","9","9","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","LAR","NE","DAL","35"
"Go Pats!!!","9","9","SF","CHI","CAR","KC","MIA","BAL","MN","WAS","HOU","SEA","NO","NE","DAL","50"
"Jeff Rosenthal","9","9","-","CHI","CAR","KC","NYJ","PIT","MN","ATL","HOU","LAC","LAR","NE","DAL","34"
"POOL MEISTER","9","9","SF","BUF","CAR","KC","NYJ","PIT","MN","ATL","HOU","LAC","LAR","GB","TEN","52"
"Dental Plan","9","9","OAK","CHI","CAR","KC","NYJ","PIT","MN","WAS","HOU","LAC","NO","NE","DAL","31"
"Art","9","9","OAK","CHI","CAR","KC","MIA","BAL","MN","ATL","HOU","SEA","NO","NE","DAL","30"
"JustMonkeyinAround","9","9","SF","CHI","CAR","KC","NYJ","BAL","MN","ATL","HOU","LAC","NO","GB","DAL","23"
"HAPPY NESS","8","8","SF","CHI","CAR","KC","MIA","BAL","MN","WAS","DEN","SEA","NO","NE","DAL","42"
"Bag 'n' Shoes","8","8","OAK","CHI","CAR","KC","MIA","BAL","MN","ATL","DEN","SEA","NO","NE","DAL","42"
"JMenacker","8","8","OAK","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","LAR","NE","DAL","42"
"West Coast Best Coast","8","8","SF","CHI","CAR","KC","MIA","BAL","MN","WAS","DEN","SEA","NO","NE","DAL","43"
"Mark_W","8","8","-","BUF","CAR","KC","MIA","BAL","MN","ATL","HOU","SEA","LAR","NE","TEN","43"
"Pauly12","8","8","OAK","CHI","CAR","KC","MIA","BAL","MN","WAS","HOU","SEA","NO","NE","DAL","43"
"Brubabe","8","8","SF","CHI","CAR","KC","MIA","PIT","MN","WAS","DEN","SEA","LAR","NE","DAL","40"
"StamfordPhil","8","8","OAK","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","LAR","NE","DAL","40"
"tnrosen","8","8","SF","CHI","TB","KC","MIA","PIT","MN","WAS","DEN","LAC","LAR","NE","DAL","39"
"Friedman's Got Talent","8","8","OAK","CHI","CAR","KC","NYJ","PIT","MN","WAS","HOU","LAC","LAR","NE","DAL","39"
"Z-Man","8","8","OAK","CHI","CAR","KC","MIA","PIT","MN","WAS","DEN","SEA","NO","NE","DAL","39"
"Twinkletoes","8","8","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","DEN","SEA","LAR","NE","DAL","38"
"Chess Doc","8","8","OAK","CHI","CAR","KC","NYJ","BAL","MN","WAS","HOU","LAC","NO","NE","DAL","38"
"Keith Swet Tailor","8","8","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","DEN","SEA","LAR","NE","DAL","46"
"HEADLY IV","8","8","SF","CHI","CAR","KC","NYJ","BAL","MN","WAS","HOU","SEA","NO","NE","DAL","46"
"sdtrading","8","8","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","DEN","SEA","NO","GB","DAL","37"
"tonyppt","8","8","OAK","CHI","CAR","KC","MIA","PIT","MN","ATL","DEN","SEA","LAR","NE","DAL","48"
"coach1","8","8","OAK","CHI","CAR","KC","NYJ","BAL","MN","ATL","HOU","SEA","NO","NE","DAL","35"
"GeveandSteveandStella","8","8","OAK","BUF","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","LAR","NE","TEN","25"
"HayMadEm","7","7","SF","CHI","CAR","KC","NYJ","BAL","MN","ATL","DEN","SEA","LAR","NE","DAL","42"
"Petvet","7","7","SF","CHI","CAR","KC","NYJ","PIT","MN","WAS","DEN","SEA","LAR","NE","DAL","41"
"Sophie's Last Choice","7","7","SF","CHI","CAR","KC","MIA","BAL","MN","ATL","DEN","SEA","LAR","GB","DAL","41"
"$man","7","7","SF","CHI","TB","KC","NYJ","BAL","MN","ATL","HOU","SEA","LAR","NE","DAL","41"
"Pioneers85","7","7","SF","CHI","CAR","KC","NYJ","PIT","MN","WAS","DEN","SEA","NO","GB","DAL","41"
"jtyler15","7","7","OAK","CHI","CAR","KC","MIA","PIT","MN","WAS","HOU","SEA","LAR","GB","DAL","44"
"stanley steamer","7","7","OAK","CHI","CAR","KC","NYJ","PIT","MN","WAS","HOU","SEA","LAR","NE","DAL","36"
"Wentz is Jewish","7","7","OAK","CHI","CAR","KC","NYJ","PIT","MN","WAS","HOU","SEA","LAR","NE","DAL","33"
"speedy","6","6","SF","CHI","CAR","KC","MIA","BAL","MN","WAS","DEN","SEA","LAR","GB","DAL","42"
"SuperBowl 52 Champs","6","6","OAK","CHI","CAR","KC","NYJ","BAL","MN","ATL","DEN","SEA","LAR","NE","DAL","44"
"Maven","6","6","SF","BUF","CAR","KC","MIA","PIT","MN","WAS","DEN","SEA","LAR","GB","DAL","39"
"Jay's Gramps","6","6","OAK","CHI","CAR","KC","NYJ","BAL","MN","WAS","HOU","SEA","NO","GB","DAL","48"
"GKAT28","6","6","OAK","BUF","CAR","KC","NYJ","BAL","MN","WAS","HOU","SEA","NO","NE","DAL","48"
"Fire Goodell","1","1","SF","-","-","-","-","-","-","-","-","-","-","-","-","0"
