"","Score","Potential ScorePerfect: 16","DEN 25@IND 13","CHI 10@DET 20","LAC 13@KC 30","MIA 16@BUF 24","GB 24@CAR 31","BAL 27@CLE 10","HOU 7@JAX 45","CIN 7@MN 34","NYJ 19@NO 31","PHI 34@NYG 29","AZ 15@WAS 20","LAR 42@SEA 7","NE 27@PIT 24","TEN 23@SF 25","DAL 20@OAK 17","ATL 24@TB 21","Tie BreakerPredictionActual: 45"
"Used to be BristolDr","13","13","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","TEN","OAK","ATL","44"
"Headly IV","13","13","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","TEN","DAL","ATL","47"
"West Coast Best Coast","13","13","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","AZ","LAR","PIT","SF","OAK","ATL","43"
"Perjodi","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","DAL","ATL","47"
"Eggman","13","13","DEN","DET","KC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","DAL","ATL","47"
"Phillycheese","13","13","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","NYG","WAS","SEA","PIT","SF","DAL","ATL","42"
"m_weinstein","13","13","DEN","DET","KC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","TEN","DAL","ATL","42"
"margate kid","13","13","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","48"
"Eggman366","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","DAL","ATL","48"
"jtyler15","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","NE","TEN","OAK","ATL","48"
"Jay and Sammy's Gramps","13","13","DEN","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","SF","DAL","ATL","49"
"tnrosen","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","TEN","DAL","ATL","41"
"Balls Deep","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","DAL","ATL","49"
"maldo","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","AZ","LAR","NE","SF","OAK","ATL","40"
"Big Blue 14","13","13","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","NYG","WAS","LAR","PIT","TEN","DAL","ATL","40"
"TShelly","13","13","DEN","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","50"
"Agent of S.H.E.L.A.","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","TB","40"
"MSE=PA","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","DAL","ATL","52"
"Giant Expectations","13","13","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","OAK","ATL","37"
"Borofskys","13","13","DEN","DET","KC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","LAR","NE","TEN","DAL","TB","54"
"mikemarkowitz","13","13","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","DAL","ATL","27"
"Geve and Steve","13","13","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","AZ","LAR","PIT","TEN","DAL","ATL","0"
"Jaddie's Daddy","12","12","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","OAK","ATL","45"
"tonyppt","12","12","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","DAL","ATL","45"
"Neal Scott","12","12","DEN","DET","KC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","OAK","ATL","44"
"nugget3016","12","12","IND","DET","LAC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","DAL","ATL","46"
"J Rosenthal","12","12","-","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","TEN","DAL","ATL","46"
"CTE DENIERS","12","12","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","OAK","ATL","46"
"RichieRich$$","12","12","DEN","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","DAL","ATL","44"
"j3live","12","12","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","NE","TEN","OAK","ATL","47"
"Kosher Dill","12","12","IND","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","SF","DAL","ATL","43"
"Jack Korbutov","12","12","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","DAL","ATL","48"
"JMenacker","12","12","DEN","DET","KC","BUF","GB","BAL","JAX","MN","NO","PHI","AZ","SEA","PIT","SF","DAL","ATL","42"
"Torch","12","12","DEN","DET","KC","MIA","GB","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","DAL","ATL","48"
"howarddmd","12","12","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","OAK","ATL","41"
"barry from miami","12","12","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","DAL","ATL","49"
"Boldman","12","12","DEN","DET","LAC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","DAL","ATL","49"
"Benny","12","12","IND","DET","KC","BUF","CAR","CLE","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","DAL","ATL","51"
"Howie's Hotdogs","12","12","DEN","DET","LAC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","TEN","DAL","ATL","53"
"GeverKriensky","12","12","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","TEN","OAK","ATL","37"
"jayandhisbubbe","12","12","IND","DET","KC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","SF","OAK","ATL","53"
"Bag 'n' Shoes","12","12","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","OAK","ATL","54"
"Dorf","12","12","-","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","NE","TEN","OAK","ATL","36"
"HayMadEm","12","12","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","OAK","ATL","35"
"Chessdoc","12","12","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","OAK","ATL","56"
"Badboybilly","11","11","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","AZ","SEA","PIT","SF","DAL","ATL","44"
"It's Wentz Time","11","11","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","OAK","ATL","46"
"Lucky Laits","11","11","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","NYG","WAS","SEA","NE","TEN","DAL","TB","46"
"Rovner Team","11","11","DEN","CHI","LAC","MIA","GB","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","SF","DAL","ATL","44"
"Pioneers85","11","11","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","NYG","WAS","SEA","PIT","SF","OAK","ATL","47"
"Paradigm","11","11","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","DAL","ATL","43"
"mmillson","11","11","IND","DET","KC","MIA","CAR","BAL","JAX","MN","NO","PHI","AZ","LAR","NE","SF","OAK","TB","48"
"davs3b","11","11","DEN","DET","KC","MIA","GB","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","OAK","ATL","48"
"Keith Sweat Tailor","11","11","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","SF","OAK","TB","48"
"KINGOCARZ","11","11","DEN","DET","KC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","OAK","ATL","49"
"mteitelman","11","11","IND","DET","KC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","OAK","ATL","50"
"Abos","11","11","IND","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","AZ","LAR","NE","TEN","DAL","ATL","40"
"Alta Kickers","11","11","DEN","DET","KC","MIA","CAR","BAL","JAX","MN","NO","PHI","AZ","SEA","PIT","TEN","DAL","ATL","38"
"nc7690","11","11","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","DAL","ATL","37"
"Philly Clete","11","11","DEN","CHI","KC","BUF","CAR","BAL","HOU","MN","NO","PHI","AZ","LAR","NE","TEN","OAK","ATL","54"
"GEO DOG","11","11","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","DAL","ATL","54"
"NadavSchwartz","11","11","-","-","-","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","LAR","PIT","SF","OAK","ATL","36"
"Just Monkeyin' Around","10","10","DEN","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","AZ","SEA","PIT","TEN","DAL","ATL","46"
"Sophie's Last Choice","10","10","IND","DET","KC","MIA","GB","BAL","JAX","MN","NYJ","PHI","WAS","LAR","NE","TEN","OAK","ATL","47"
"They Might Be Giants","10","10","DEN","DET","KC","BUF","CAR","BAL","JAX","MN","NO","NYG","AZ","LAR","PIT","TEN","OAK","TB","49"
"The System","10","10","DEN","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","OAK","ATL","51"
"POOL MEISTER","10","10","DEN","DET","KC","MIA","CAR","CLE","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","OAK","ATL","51"
"Feins","10","10","IND","DET","LAC","MIA","CAR","BAL","JAX","MN","NO","PHI","AZ","SEA","PIT","SF","DAL","ATL","38"
"Marc Cramer","9","9","IND","DET","KC","BUF","CAR","CLE","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","OAK","TB","46"
"Brubabe","9","9","IND","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","PHI","WAS","SEA","PIT","TEN","OAK","TB","40"
"Slugger53","9","9","IND","DET","LAC","MIA","GB","BAL","JAX","MN","NO","PHI","AZ","LAR","PIT","SF","OAK","ATL","50"
"GmenBlues","9","9","DEN","DET","LAC","BUF","CAR","BAL","JAX","MN","NO","NYG","AZ","SEA","PIT","TEN","OAK","ATL","52"
"Fire Goodell","9","9","-","CHI","LAC","BUF","GB","BAL","JAX","MN","NO","PHI","WAS","SEA","NE","TEN","OAK","ATL","31"
"Dr. Blue","7","7","IND","DET","LAC","BUF","CAR","CLE","JAX","MN","NO","NYG","AZ","SEA","PIT","TEN","OAK","ATL","38"
